Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,< 10%,< 10%,No data,No data,No data,No data,94.18%,94.18%,No data,No data
geek-care.us,< 10%,< 10%,7.37%,7.37%,8.59%,8.59%,96.23%,96.23%,10.60%,10.60%
hellotech.com,16.49%,16.49%,7.33%,7.33%,16.94%,16.94%,80.86%,80.86%,8.64%,8.64%
digitalsgeek.com,< 10%,< 10%,7.31%,7.31%,9.34%,9.34%,97.90%,97.90%,19.07%,19.07%
thegeekz.info,< 10%,< 10%,7.26%,7.26%,9.77%,9.77%,96.67%,96.67%,23.89%,23.89%
bestbuy.com,23.27%,23.27%,7.34%,7.34%,25.09%,25.09%,96.23%,96.23%,5.05%,5.05%
digitalgeek24.com,< 10%,< 10%,7.29%,7.29%,6.33%,6.33%,98.95%,98.95%,31.25%,31.25%
geeksitservices.com,< 10%,< 10%,7.32%,7.32%,13.42%,13.42%,99.55%,99.55%,12.09%,12.09%
geekzonlinecare.com,< 10%,< 10%,6.83%,6.83%,14.52%,14.52%,98.19%,98.19%,56.13%,56.13%
geeksupportservices.com,< 10%,< 10%,7.40%,7.40%,5.14%,5.14%,99.36%,99.36%,9.23%,9.23%
