Day,Start Hour,Impressions
Sunday,12 AM,11
Sunday,1 AM,14
Sunday,2 AM,10
Sunday,3 AM,9
Sunday,4 AM,5
Sunday,5 AM,4
Sunday,6 AM,6
Sunday,7 AM,1
Sunday,8 AM,3
Sunday,9 AM,1
Sunday,10 AM,2
Sunday,11 AM,0
Sunday,12 PM,0
Sunday,1 PM,0
Sunday,2 PM,0
Sunday,3 PM,0
Sunday,4 PM,0
Sunday,5 PM,0
Sunday,6 PM,0
Sunday,7 PM,0
Sunday,8 PM,0
Sunday,9 PM,0
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,0
Monday,1 AM,0
Monday,2 AM,0
Monday,3 AM,0
Monday,4 AM,0
Monday,5 AM,0
Monday,6 AM,0
Monday,7 AM,0
Monday,8 AM,0
Monday,9 AM,0
Monday,10 AM,0
Monday,11 AM,0
Monday,12 PM,0
Monday,1 PM,0
Monday,2 PM,0
Monday,3 PM,0
Monday,4 PM,0
Monday,5 PM,0
Monday,6 PM,0
Monday,7 PM,128
Monday,8 PM,6
Monday,9 PM,0
Monday,10 PM,57
Monday,11 PM,87
Tuesday,12 AM,104
Tuesday,1 AM,32
Tuesday,2 AM,0
Tuesday,3 AM,0
Tuesday,4 AM,1
Tuesday,5 AM,0
Tuesday,6 AM,0
Tuesday,7 AM,2
Tuesday,8 AM,17
Tuesday,9 AM,5
Tuesday,10 AM,0
Tuesday,11 AM,2
Tuesday,12 PM,1
Tuesday,1 PM,3
Tuesday,2 PM,4
Tuesday,3 PM,2
Tuesday,4 PM,3
Tuesday,5 PM,1
Tuesday,6 PM,12
Tuesday,7 PM,136
Tuesday,8 PM,111
Tuesday,9 PM,91
Tuesday,10 PM,140
Tuesday,11 PM,89
Wednesday,12 AM,119
Wednesday,1 AM,0
Wednesday,2 AM,0
Wednesday,3 AM,0
Wednesday,4 AM,0
Wednesday,5 AM,0
Wednesday,6 AM,0
Wednesday,7 AM,0
Wednesday,8 AM,0
Wednesday,9 AM,0
Wednesday,10 AM,0
Wednesday,11 AM,0
Wednesday,12 PM,0
Wednesday,1 PM,0
Wednesday,2 PM,1
Wednesday,3 PM,1
Wednesday,4 PM,4
Wednesday,5 PM,4
Wednesday,6 PM,8
Wednesday,7 PM,3
Wednesday,8 PM,74
Wednesday,9 PM,59
Wednesday,10 PM,70
Wednesday,11 PM,4
Thursday,12 AM,90
Thursday,1 AM,92
Thursday,2 AM,5
Thursday,3 AM,8
Thursday,4 AM,2
Thursday,5 AM,0
Thursday,6 AM,0
Thursday,7 AM,0
Thursday,8 AM,0
Thursday,9 AM,0
Thursday,10 AM,0
Thursday,11 AM,0
Thursday,12 PM,0
Thursday,1 PM,0
Thursday,2 PM,0
Thursday,3 PM,0
Thursday,4 PM,0
Thursday,5 PM,0
Thursday,6 PM,0
Thursday,7 PM,47
Thursday,8 PM,39
Thursday,9 PM,142
Thursday,10 PM,128
Thursday,11 PM,66
Friday,12 AM,67
Friday,1 AM,30
Friday,2 AM,0
Friday,3 AM,0
Friday,4 AM,0
Friday,5 AM,0
Friday,6 AM,0
Friday,7 AM,0
Friday,8 AM,0
Friday,9 AM,0
Friday,10 AM,0
Friday,11 AM,0
Friday,12 PM,0
Friday,1 PM,0
Friday,2 PM,0
Friday,3 PM,0
Friday,4 PM,0
Friday,5 PM,0
Friday,6 PM,0
Friday,7 PM,81
Friday,8 PM,75
Friday,9 PM,68
Friday,10 PM,153
Friday,11 PM,102
Saturday,12 AM,24
Saturday,1 AM,102
Saturday,2 AM,2
Saturday,3 AM,0
Saturday,4 AM,0
Saturday,5 AM,0
Saturday,6 AM,0
Saturday,7 AM,0
Saturday,8 AM,0
Saturday,9 AM,0
Saturday,10 AM,0
Saturday,11 AM,0
Saturday,12 PM,0
Saturday,1 PM,0
Saturday,2 PM,0
Saturday,3 PM,0
Saturday,4 PM,0
Saturday,5 PM,0
Saturday,6 PM,0
Saturday,7 PM,1
Saturday,8 PM,4
Saturday,9 PM,7
Saturday,10 PM,6
Saturday,11 PM,16
