Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
geek squad,Broad match,Enabled,Enabled,Enabled,"₹130,190.05",195,8.71%
geek squad best buy,Broad match,Enabled,Enabled,Enabled,"₹5,684.09",6,10.91%
geek squad appointment,Broad match,Enabled,Enabled,Enabled,"₹4,625.55",13,8.50%
geek squad service,Broad match,Enabled,Enabled,Enabled,"₹3,823.55",6,4.96%
best buy geek squad services,Broad match,Enabled,Enabled,Enabled,"₹2,878.58",3,18.75%
geek repair,Broad match,Enabled,Enabled,Enabled,"₹2,142.04",5,5.75%
the geek squad,Broad match,Enabled,Enabled,Enabled,"₹1,565.20",2,7.14%
cell phone protection plan,Broad match,Enabled,Enabled,Enabled,₹797.94,1,100.00%
device protection plan,Broad match,Enabled,Enabled,Enabled,₹507.39,2,5.88%
geek squad number,Broad match,Enabled,Enabled,Enabled,₹258.07,1,100.00%
best buy geek squad phone number,Broad match,Enabled,Enabled,Enabled,₹241.65,1,6.25%
buy service,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy insurance,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy service,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy computer repair,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy phone number,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy repair,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad com,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
buy geek squad,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad help,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad support,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy help,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
www geek squad com,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad online,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy support,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
phone protection plan,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geeksquad com support,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy com support,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy geek squad appointment,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy geek squad number,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy geek squad support,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy geek support,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad customer service number,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad help number,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad phone number,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad customer service,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
mobile phone protection plan,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy protection plan,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
1800 geek squad,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek support phone number,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad installation,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy geek squad protection,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad protection plan,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
cell phone insurance plan,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
contact geek squad,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy service plan,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad protection,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
best buy geek squad customer service,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek protection,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
geek squad in home service,Broad match,Enabled,Enabled,Enabled,₹0.00,0,0.00%
